"id","listingType","featureGroups","numberOfRooms","price","debtFreePrice","livingArea","totalArea","pricePMsq","city","region","district","postalCode","floor","buildingAge","centrum","hasSauna","hasBalcony","hasParking","hasWalkInCloset","hasStorage","link"
"522505","Kerrostalo","apartment",2,18358.31,24000,59.5,59.5,403.361344537815,"Kemi","Kemi","Takajärvi","94700",3,56,0,0,1,0,0,0,"<a href='https://op-koti.fi/kohde/522505'>https://op-koti.fi/kohde/522505</a>"
"524729","Kerrostalo","apartment",2,109217.84,132000,50.5,50.5,2613.86138613861,"Kerava","Kerava","Sompio","04200",3,56,0,0,0,0,0,0,"<a href='https://op-koti.fi/kohde/524729'>https://op-koti.fi/kohde/524729</a>"
"524098","Luhtitalo","apartment",3,135000,135000,79,79,1708.86075949367,"Siilinjärvi","Siilinjärvi","Toivala","70900",1,48,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/524098'>https://op-koti.fi/kohde/524098</a>"
"505364","Rivitalo","apartment",4,217000,217000,100,100,2170,"Kuopio","Kuopio","Savolanniemi","70820",1,16,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/505364'>https://op-koti.fi/kohde/505364</a>"
"517840","Kerrostalo","apartment",3,117447.34,120000,73,73,1643.83561643836,"Kuopio","Kuopio","Keskusta","70100",3,46,1,0,0,0,0,0,"<a href='https://op-koti.fi/kohde/517840'>https://op-koti.fi/kohde/517840</a>"
"517751","Rivitalo","apartment",1,48000,48000,42.5,42.5,1129.41176470588,"Savonlinna","Savonlinna","Kerimäki","58200",1,25,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/517751'>https://op-koti.fi/kohde/517751</a>"
"524547","Omakotitalo","apartment",4,169000,169000,90,110,1536.36363636364,"Lohja","Lohja","Gruotila","08150",0,62,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/524547'>https://op-koti.fi/kohde/524547</a>"
"508927","Omakotitalo","apartment",5,62000,62000,129,129,480.62015503876,"Pöytyä","Pöytyä","Kyrö","21800",0,72,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/508927'>https://op-koti.fi/kohde/508927</a>"
"509074","Omakotitalo","apartment",4,49000,49000,90,130,376.923076923077,"Säkylä","Säkylä","Kepola","27710",0,67,0,0,0,0,0,0,"<a href='https://op-koti.fi/kohde/509074'>https://op-koti.fi/kohde/509074</a>"
"523806","Rivitalo","apartment",3,87000,87000,73,73,1191.78082191781,"Jämsä","Jämsä","Pispala","42100",1,34,1,1,0,0,1,0,"<a href='https://op-koti.fi/kohde/523806'>https://op-koti.fi/kohde/523806</a>"
"518140","Omakotitalo","apartment",3,218000,218000,107,144,1513.88888888889,"Nokia","Nokia","Keho","37120",0,60,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/518140'>https://op-koti.fi/kohde/518140</a>"
"524431","Rivitalo","apartment",2,25000,25000,41.5,41.5,602.409638554217,"Kiuruvesi","Kiuruvesi","Hovi","74700",1,34,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/524431'>https://op-koti.fi/kohde/524431</a>"
"508572","Rivitalo","apartment",2,79000,79000,44.5,44.5,1775.2808988764,"Lapua","Lapua","Keskusta","62100",0,16,1,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/508572'>https://op-koti.fi/kohde/508572</a>"
"518246","Kerrostalo","apartment",2,22000,22000,55,55,400,"Harjavalta","Harjavalta","Kreetala","29200",0,46,0,0,0,0,0,0,"<a href='https://op-koti.fi/kohde/518246'>https://op-koti.fi/kohde/518246</a>"
"522329","Omakotitalo","apartment",9,79000,79000,300,340,232.352941176471,"Jämsä","Jämsä","Lopeisto","42100",0,93,1,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/522329'>https://op-koti.fi/kohde/522329</a>"
"524503","Omakotitalo","apartment",5,198000,198000,300,396,500,"Salo","Salo","Kisko","25470",0,118,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/524503'>https://op-koti.fi/kohde/524503</a>"
"521287","Omakotitalo","apartment",4,628000,628000,145.5,146.5,4286.68941979522,"Tampere","Länsi","Kaarila","33270",0,5,0,1,0,0,1,0,"<a href='https://op-koti.fi/kohde/521287'>https://op-koti.fi/kohde/521287</a>"
"524245","Omakotitalo","apartment",4,55000,55000,98,110.4,498.188405797101,"Pieksämäki","Pieksämäki","Nenonpelto","76940",0,43,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/524245'>https://op-koti.fi/kohde/524245</a>"
"520421","Rivitalo","apartment",3,104500,104500,74,74,1412.16216216216,"Hausjärvi","Hausjärvi","Ryttylä","12310",0,28,0,1,0,0,1,1,"<a href='https://op-koti.fi/kohde/520421'>https://op-koti.fi/kohde/520421</a>"
"524459","Omakotitalo","apartment",4,249000,249000,111,160,1556.25,"Porvoo","Porvoo","Huhtinen","06100",0,33,1,1,0,1,0,1,"<a href='https://op-koti.fi/kohde/524459'>https://op-koti.fi/kohde/524459</a>"
"519670","Rivitalo","apartment",4,334417.81,335000,95,95,3526.31578947368,"Kaarina","Kaarina","Littoinen","20660",1,13,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/519670'>https://op-koti.fi/kohde/519670</a>"
"694269","Kerrostalo","apartment",4,63094.81,65000,81.5,81.5,797.546012269939,"Kuopio","Kuopio","Saarijärvi A","70500",7,50,0,0,0,0,0,0,"<a href='https://op-koti.fi/kohde/694269'>https://op-koti.fi/kohde/694269</a>"
"523731","Omakotitalo","apartment",5,515000,515000,148,197,2614.21319796954,"Tampere","Etelä","Lukonmäki","33710",0,13,0,1,0,1,1,1,"<a href='https://op-koti.fi/kohde/523731'>https://op-koti.fi/kohde/523731</a>"
