id,listingType,floor,numberOfRooms,price,debtFreePrice,city,region,district,postalCode,livingArea,totalArea,buildingAge,centrum,hasSauna,hasBalcony,hasParking,hasWalkInCloset,hasStorageRoom
508994,Rivitalo,1,3,105805.19,107000.0,Mäntsälä,Mäntsälä,Meijerinpelto,04600,75.0,75.0,40.0,0,1,0,0,0,0
507298,Kerrostalo,3,3,45928.58,60900.0,Rovaniemi,Rovaniemi,Korkalovaara,96500,83.0,83.0,48.0,0,0,1,0,0,0
693124,Omakotitalo,0,7,117000.0,117000.0,Sastamala,Sastamala,Varila,38200,171.0,467.0,66.0,0,1,0,0,0,0
508462,Rivitalo,0,3,159000.0,159000.0,Seinäjoki,Seinäjoki,Kasperi,60150,73.5,73.5,15.0,0,1,0,0,1,0
508721,Kerrostalo,3,4,147087.75,147500.0,Rovaniemi,Rovaniemi,Veitikanharju,96100,88.0,88.0,49.0,1,0,1,0,0,0
508477,Kerrostalo,3,2,85000.0,85000.0,Sastamala,Sastamala,Keskusta,38200,39.0,39.0,30.0,0,1,0,0,0,0
508372,Rivitalo,0,4,205567.78,227000.0,Nurmijärvi,Nurmijärvi,Klaukkala,01820,97.5,97.5,36.0,0,1,0,0,0,0
508412,Kerrostalo,2,2,29000.0,29000.0,Iisalmi,Iisalmi,Lippuniemi,74130,49.0,49.0,45.0,0,0,0,0,0,0
508967,Kerrostalo,3,2,28500.0,60465.97,Rauma,Rauma,Sampaanala,26820,56.0,56.0,49.0,0,0,0,0,0,0
508228,Omakotitalo,0,4,89000.0,89000.0,Kouvola,Kouvola,Vahtero,45120,95.0,138.0,56.0,0,1,0,0,0,0
507869,Kerrostalo,6,1,83452.0,95000.0,Jyväskylä,Jyväskylä,Viitaniemi,40720,32.5,32.5,59.0,0,0,0,0,0,0
506369,Kerrostalo,1,3,62000.0,62000.0,Kajaani,Kajaani,Laajankangas,87500,73.5,73.5,36.0,0,0,0,0,0,0
508865,Kerrostalo,2,2,176042.47,179000.0,Hämeenlinna,Hämeenlinna,Idänpää,13210,56.0,56.0,8.0,0,1,0,0,0,0
508547,Omakotitalo,0,5,347000.0,347000.0,Oulainen,Oulainen,oulainen,86300,210.0,235.0,13.0,0,1,0,0,1,0
508519,Kerrostalo,2,2,75000.0,75000.0,Sastamala,Sastamala,Sastamala,38210,47.0,47.0,36.0,0,1,0,0,0,0
507519,Omakotitalo,0,3,360000.0,360000.0,Sipoo,Sipoo,Nikkilä,04130,130.5,152.5,27.0,0,1,0,0,1,0
506942,Rivitalo,1,3,99000.0,99000.0,Kontiolahti,Kontiolahti,Lehmo,80710,69.5,69.5,32.0,0,1,0,0,0,0
506943,Kerrostalo,2,2,81441.35,89000.0,Jyväskylä,Jyväskylä,Palokka,40270,54.0,54.0,37.0,0,1,0,0,0,0
507021,Kerrostalo,1,1,44000.0,44000.0,Jyväskylä,Jyväskylä,Keltinmäki,40640,34.5,34.5,42.0,0,0,1,0,0,0
694430,Omakotitalo,0,5,495000.0,495000.0,Pori,Pori,Yyteri,28840,155.0,242.0,22.0,0,1,0,0,0,0
508675,Omakotitalo,0,6,98000.0,98000.0,Äänekoski,Äänekoski,Mustaniemi,44120,134.0,162.0,43.0,0,1,0,0,1,0
508367,Kerrostalo,1,3,99224.39,152000.0,Kuopio,Kuopio,Puijonlaakso,70200,68.0,68.0,55.0,0,0,0,0,0,0
507922,Kerrostalo,3,2,86000.0,86000.0,Seinäjoki,Seinäjoki,Kivistö,60100,47.0,47.0,40.0,1,0,0,0,0,0
508133,Omakotitalo,0,4,109000.0,109000.0,Lieksa,Lieksa,Partalanmäki,81700,119.0,165.0,42.0,0,1,0,0,1,0
508170,Kerrostalo,1,2,57000.0,57000.0,Kajaani,Kajaani,Keskusta,87100,50.0,50.0,83.0,1,0,0,0,0,0
508283,Omakotitalo,0,4,655000.0,655000.0,Salo,Salo,Särkisalo,25640,105.0,120.0,12.0,0,0,0,0,0,0
507042,Kerrostalo,3,1,88941.92,89000.0,Sipoo,Sipoo,Nikkilä,04130,31.0,31.0,54.0,0,0,0,0,0,0
507261,Rivitalo,1,3,162373.8,176000.0,Järvenpää,Järvenpää,Loutti,04400,86.0,86.0,44.0,0,1,0,1,0,1
508725,Omakotitalo,0,7,198000.0,198000.0,Sastamala,Sastamala,Hoppu,38200,250.0,400.0,61.0,0,1,0,1,0,0
695668,Kerrostalo,1,1,18300.0,22900.0,Pieksämäki,Pieksämäki,Keskusta,76100,28.1,28.1,59.0,1,0,0,0,0,0
508627,Omakotitalo,0,5,668000.0,668000.0,Helsinki,Itä-Helsinki,Tammisalo,00830,133.0,133.0,37.0,0,1,0,0,0,0
508906,Kerrostalo,3,2,44000.0,44000.0,Eurajoki,Eurajoki,Kirkonkylä,27100,61.5,61.5,47.0,1,0,0,0,0,0
508247,Kerrostalo,6,4,839000.0,839000.0,Helsinki,Etelä-Helsinki,Lauttasaari,00200,91.0,91.0,4.0,0,1,0,0,0,0
508018,Kerrostalo,1,2,122042.93,125000.0,Vantaa,Itä-Vantaa,Havukoski,01360,59.0,59.0,46.0,0,0,0,0,0,0
507978,Omakotitalo,0,4,105000.0,105000.0,Rantasalmi,Rantasalmi,Osikonmäki,58900,156.5,176.0,63.0,0,1,0,0,0,0
508385,Kerrostalo,2,2,37425.33,40000.0,Kajaani,Kajaani,Puistola,87250,62.5,62.5,46.0,0,0,0,0,0,0
506963,Kerrostalo,5,2,124000.0,124000.0,Lahti,Lahti,Keski-Lahti,15110,42.5,42.5,61.0,0,0,1,0,1,0
508562,Kerrostalo,3,2,35000.0,35000.0,Laukaa,Laukaa,Keskusta,41340,50.0,50.0,56.0,0,0,1,0,0,0
507840,Omakotitalo,0,6,410000.0,410000.0,Järvenpää,Järvenpää,Loutti,04400,179.0,199.6,40.0,0,1,0,0,0,1
506854,Rivitalo,1,2,139332.88,159000.0,Tampere,Itä,Olkahinen,33610,60.5,60.5,34.0,0,1,0,0,0,0
508624,Kerrostalo,6,2,92439.25,258000.0,Vantaa,Länsi-Vantaa,Kaivoksela,01610,57.5,57.5,5.0,0,1,1,0,0,0
508327,Kerrostalo,4,2,140000.0,140000.0,Lahti,Lahti,Keskusta,15100,44.5,44.5,26.0,1,1,1,0,0,0
508305,Kerrostalo,1,2,58882.16,62000.0,Seinäjoki,Seinäjoki,Törnävä,60200,51.5,51.5,46.0,0,0,0,0,0,0
507073,Kerrostalo,6,2,51909.75,159000.0,Nokia,Nokia,Keskusta,37100,41.5,41.5,1.0,1,0,0,0,0,0
508379,Omakotitalo,0,4,144000.0,144000.0,Valkeakoski,Valkeakoski,Mäntylä,37630,86.0,95.0,62.0,0,1,0,1,0,0
508209,Kerrostalo,6,1,33408.73,109000.0,Kuopio,Kuopio,Lehtoniemi,70840,25.0,25.0,2.0,0,0,0,0,0,0
508699,Omakotitalo,0,4,108000.0,108000.0,Taipalsaari,Taipalsaari,Saimaanharju,54915,113.5,145.0,48.0,0,1,0,0,0,0
508628,Rivitalo,1,2,55000.0,55000.0,Hausjärvi,Hausjärvi,Oitti,12100,45.0,45.0,32.0,1,1,0,0,0,0
507774,Kerrostalo,4,1,59407.62,70000.0,Oulu,Oulu,Heinäpää,90120,32.0,32.0,61.0,0,0,0,0,0,0
508879,Omakotitalo,0,4,92000.0,92000.0,Eura,Eura,Kirkonkylä,27510,110.0,180.0,63.0,0,0,0,0,0,0
508517,Kerrostalo,3,3,75550.61,79000.0,Asikkala,Asikkala,Vääksy,17200,87.0,87.0,70.0,0,0,0,0,0,0
506261,Rivitalo,1,3,175000.0,175000.0,Lempäälä,Lempäälä,Hakkari,37550,91.5,91.5,38.0,0,1,0,0,0,0
505040,Kerrostalo,4,3,420000.0,420000.0,Lahti,Lahti,Jalkaranta,15900,84.0,84.0,9.0,0,1,1,0,0,0
506686,Rivitalo,1,3,119236.53,128000.0,Kemi,Kemi,Peurasaari,94720,79.0,79.0,30.0,0,1,0,0,0,0
508557,Omakotitalo,0,4,149000.0,149000.0,Valkeakoski,Valkeakoski,Eerola,37630,110.0,130.0,44.0,0,1,0,0,0,0
508647,Omakotitalo,0,3,449000.0,449000.0,Kotka,Kotka,Kaarniemi,48810,103.0,133.0,10.0,0,1,0,0,1,0
508399,Kerrostalo,2,3,57000.0,57000.0,Lahti,Lahti,Ahtiala,15300,74.5,74.5,45.0,0,0,1,0,1,0
507908,Rivitalo,1,3,115637.4,119000.0,Rovaniemi,Rovaniemi,Länsikangas,96500,73.5,73.5,37.0,0,1,0,1,0,0
507752,Rivitalo,1,4,179000.0,179000.0,Siilinjärvi,Siilinjärvi,Vuorela,70910,90.5,90.5,31.0,0,1,0,0,0,0
